InstanceID,FromNode,ToNode,Distance,Demand,Capacity
10_1,0,1,70.0,0.0,10000.0
10_1,0,2,75.0,0.0,10000.0
10_1,0,3,96.0,0.0,10000.0
10_1,0,4,53.0,0.0,10000.0
10_1,0,5,60.0,0.0,10000.0
10_1,0,6,96.0,0.0,10000.0
10_1,0,7,86.0,0.0,10000.0
10_1,0,8,84.0,0.0,10000.0
10_1,0,9,58.0,0.0,10000.0
10_1,0,10,66.0,0.0,10000.0
10_1,1,0,73.0,71.0,10000.0
10_1,1,2,90.0,71.0,10000.0
10_1,1,3,84.0,71.0,10000.0
10_1,1,4,97.0,71.0,10000.0
10_1,1,5,66.0,71.0,10000.0
10_1,1,6,53.0,71.0,10000.0
10_1,1,7,72.0,71.0,10000.0
10_1,1,8,61.0,71.0,10000.0
10_1,1,9,75.0,71.0,10000.0
10_1,1,10,56.0,71.0,10000.0
10_1,2,0,78.0,113.0,10000.0
10_1,2,1,72.0,113.0,10000.0
10_1,2,3,59.0,113.0,10000.0
10_1,2,4,97.0,113.0,10000.0
10_1,2,5,50.0,113.0,10000.0
10_1,2,6,58.0,113.0,10000.0
10_1,2,7,62.0,113.0,10000.0
10_1,2,8,87.0,113.0,10000.0
10_1,2,9,84.0,113.0,10000.0
10_1,2,10,86.0,113.0,10000.0
10_1,3,0,63.0,160.0,10000.0
10_1,3,1,52.0,160.0,10000.0
10_1,3,2,65.0,160.0,10000.0
10_1,3,4,85.0,160.0,10000.0
10_1,3,5,84.0,160.0,10000.0
10_1,3,6,70.0,160.0,10000.0
10_1,3,7,65.0,160.0,10000.0
10_1,3,8,67.0,160.0,10000.0
10_1,3,9,59.0,160.0,10000.0
10_1,3,10,94.0,160.0,10000.0
10_1,4,0,63.0,72.0,10000.0
10_1,4,1,96.0,72.0,10000.0
10_1,4,2,92.0,72.0,10000.0
10_1,4,3,94.0,72.0,10000.0
10_1,4,5,89.0,72.0,10000.0
10_1,4,6,51.0,72.0,10000.0
10_1,4,7,75.0,72.0,10000.0
10_1,4,8,85.0,72.0,10000.0
10_1,4,9,63.0,72.0,10000.0
10_1,4,10,60.0,72.0,10000.0
10_1,5,0,54.0,96.0,10000.0
10_1,5,1,95.0,96.0,10000.0
10_1,5,2,98.0,96.0,10000.0
10_1,5,3,80.0,96.0,10000.0
10_1,5,4,72.0,96.0,10000.0
10_1,5,6,75.0,96.0,10000.0
10_1,5,7,77.0,96.0,10000.0
10_1,5,8,91.0,96.0,10000.0
10_1,5,9,64.0,96.0,10000.0
10_1,5,10,65.0,96.0,10000.0
10_1,6,0,50.0,162.0,10000.0
10_1,6,1,77.0,162.0,10000.0
10_1,6,2,95.0,162.0,10000.0
10_1,6,3,81.0,162.0,10000.0
10_1,6,4,70.0,162.0,10000.0
10_1,6,5,77.0,162.0,10000.0
10_1,6,7,85.0,162.0,10000.0
10_1,6,8,56.0,162.0,10000.0
10_1,6,9,74.0,162.0,10000.0
10_1,6,10,64.0,162.0,10000.0
10_1,7,0,73.0,92.0,10000.0
10_1,7,1,91.0,92.0,10000.0
10_1,7,2,69.0,92.0,10000.0
10_1,7,3,82.0,92.0,10000.0
10_1,7,4,62.0,92.0,10000.0
10_1,7,5,84.0,92.0,10000.0
10_1,7,6,95.0,92.0,10000.0
10_1,7,8,94.0,92.0,10000.0
10_1,7,9,63.0,92.0,10000.0
10_1,7,10,51.0,92.0,10000.0
10_1,8,0,94.0,71.0,10000.0
10_1,8,1,74.0,71.0,10000.0
10_1,8,2,98.0,71.0,10000.0
10_1,8,3,70.0,71.0,10000.0
10_1,8,4,85.0,71.0,10000.0
10_1,8,5,71.0,71.0,10000.0
10_1,8,6,66.0,71.0,10000.0
10_1,8,7,85.0,71.0,10000.0
10_1,8,9,94.0,71.0,10000.0
10_1,8,10,98.0,71.0,10000.0
10_1,9,0,86.0,163.0,10000.0
10_1,9,1,81.0,163.0,10000.0
10_1,9,2,89.0,163.0,10000.0
10_1,9,3,77.0,163.0,10000.0
10_1,9,4,90.0,163.0,10000.0
10_1,9,5,86.0,163.0,10000.0
10_1,9,6,63.0,163.0,10000.0
10_1,9,7,51.0,163.0,10000.0
10_1,9,8,53.0,163.0,10000.0
10_1,9,10,58.0,163.0,10000.0
10_1,10,0,87.0,114.0,10000.0
10_1,10,1,58.0,114.0,10000.0
10_1,10,2,94.0,114.0,10000.0
10_1,10,3,63.0,114.0,10000.0
10_1,10,4,66.0,114.0,10000.0
10_1,10,5,84.0,114.0,10000.0
10_1,10,6,94.0,114.0,10000.0
10_1,10,7,66.0,114.0,10000.0
10_1,10,8,76.0,114.0,10000.0
10_1,10,9,92.0,114.0,10000.0
10_2,0,1,70.0,0.0,10000.0
10_2,0,2,94.0,0.0,10000.0
10_2,0,3,70.0,0.0,10000.0
10_2,0,4,91.0,0.0,10000.0
10_2,0,5,83.0,0.0,10000.0
10_2,0,6,95.0,0.0,10000.0
10_2,0,7,82.0,0.0,10000.0
10_2,0,8,85.0,0.0,10000.0
10_2,0,9,98.0,0.0,10000.0
10_2,0,10,53.0,0.0,10000.0
10_2,1,0,88.0,185.0,10000.0
10_2,1,2,72.0,185.0,10000.0
10_2,1,3,55.0,185.0,10000.0
10_2,1,4,96.0,185.0,10000.0
10_2,1,5,88.0,185.0,10000.0
10_2,1,6,98.0,185.0,10000.0
10_2,1,7,54.0,185.0,10000.0
10_2,1,8,87.0,185.0,10000.0
