InstanceID,FromNode,ToNode,Distance,Demand,Capacity,MstValue,MstRoute
4_1,0,1,5.0,0.0,50.0,17.0,0
4_1,0,2,9.0,0.0,50.0,17.0,0
4_1,0,3,2.0,0.0,50.0,17.0,0
4_1,0,4,2.0,0.0,50.0,17.0,0
4_1,1,0,7.0,1.0,50.0,17.0,3
4_1,1,2,8.0,1.0,50.0,17.0,3
4_1,1,3,1.0,1.0,50.0,17.0,3
4_1,1,4,5.0,1.0,50.0,17.0,3
4_1,2,0,9.0,8.0,50.0,17.0,1
4_1,2,1,4.0,8.0,50.0,17.0,1
4_1,2,3,3.0,8.0,50.0,17.0,1
4_1,2,4,4.0,8.0,50.0,17.0,1
4_1,3,0,4.0,5.0,50.0,17.0,2
4_1,3,1,1.0,5.0,50.0,17.0,2
4_1,3,2,5.0,5.0,50.0,17.0,2
4_1,3,4,7.0,5.0,50.0,17.0,2
4_1,4,0,2.0,9.0,50.0,17.0,4
4_1,4,1,5.0,9.0,50.0,17.0,4
4_1,4,2,9.0,9.0,50.0,17.0,4
4_1,4,3,4.0,9.0,50.0,17.0,4
4_2,0,1,4.0,0.0,50.0,12.0,0
4_2,0,2,2.0,0.0,50.0,12.0,0
4_2,0,3,1.0,0.0,50.0,12.0,0
4_2,0,4,1.0,0.0,50.0,12.0,0
4_2,1,0,4.0,6.0,50.0,12.0,2
4_2,1,2,4.0,6.0,50.0,12.0,2
4_2,1,3,7.0,6.0,50.0,12.0,2
4_2,1,4,6.0,6.0,50.0,12.0,2
4_2,2,0,9.0,4.0,50.0,12.0,3
4_2,2,1,6.0,4.0,50.0,12.0,3
4_2,2,3,2.0,4.0,50.0,12.0,3
4_2,2,4,5.0,4.0,50.0,12.0,3
4_2,3,0,9.0,6.0,50.0,12.0,4
4_2,3,1,7.0,6.0,50.0,12.0,4
4_2,3,2,9.0,6.0,50.0,12.0,4
4_2,3,4,3.0,6.0,50.0,12.0,4
4_2,4,0,5.0,8.0,50.0,12.0,1
4_2,4,1,1.0,8.0,50.0,12.0,1
4_2,4,2,7.0,8.0,50.0,12.0,1
4_2,4,3,5.0,8.0,50.0,12.0,1
